ID	ALIGNMENT	COGID	CONCEPT	DOCULECT	FORM	NOTE	TOKENS	TYPE
1704	w i t .	852	䘏 (xia)	Baxter		?	w i t .	2 xia
619	ʃ .	310	䟽 (shang)	Zhou		?	ʃ .	1 shang
620	sr .	310	䟽 (shang)	Baxter		?	sr .	1 shang
1705	w a t .	853	䫄 (xia)	Zhou		?	w a t .	2 xia
1706	w æ t .	853	䫄 (xia)	Baxter		?	w æ t .	2 xia
1155	ʔ ĭw	578	一 (shang)	Zhou		?	ʔ ĭw	2 shang
1156	' w	578	一 (shang)	Baxter		?	' w	2 shang
213	ĭ ĕ t .	107	一 (xia)	Zhou	ɖʰĭĕt	?	ĭ ĕ t .	0 xia
214	j i t .	107	一 (xia)	Baxter	ɖʰĭĕt	?	j i t .	0 xia
1157	t .	579	丁 (shang)	Zhou		?	t .	2 shang
1158	t .	579	丁 (shang)	Baxter		?	t .	2 shang
1707	i e ŋ ˩	854	丁 (xia)	Zhou		?	i e ŋ ˩	2 xia
1708	j e ng .	854	丁 (xia)	Baxter		?	j e ng .	2 xia
1159	tsʰ ĭ	580	七 (shang)	Zhou		?	tsʰ ĭ	2 shang
1160	tsh j	580	七 (shang)	Baxter		?	tsh j	2 shang
1709	ĭ ĕ t .	855	七 (xia)	Zhou		?	ĭ ĕ t .	2 xia
1710	. i t .	855	七 (xia)	Baxter		?	. i t .	2 xia
1711	ĭ ɐ n ˩˥	856	万 (xia)	Zhou		?	ĭ ɐ n ˩˥	2 xia
1712	j o n H	856	万 (xia)	Baxter		?	j o n H	2 xia
1	ɖʰ .	1	丈 (shang)	Zhou	ɖʰap / ɖʰĭəŋ˩˥ / ɖʰæn˩˥ / ɖʰwai˥ / ɖʰĭɛŋ˥	?	ɖʰ ĭ	0 shang
2	dr .	1	丈 (shang)	Baxter	ɖʰap / ɖʰĭəŋ˩˥ / ɖʰæn˩˥ / ɖʰwai˥ / ɖʰĭɛŋ˥	?	dr j	0 shang
765	ĭ a ŋ ˥	383	丈 (xia)	Zhou		?	ĭ a ŋ ˥	1 xia
766	j ae ng X	383	丈 (xia)	Baxter		?	j æ ng X	1 xia
1713	. ɑ m ˥˩	857	三 (xia)	Zhou		?	. ɑ m ˥˩	2 xia
1714	. a m .	857	三 (xia)	Baxter		?	. a m .	2 xia
1161	ɣ .	581	下 (shang)	Zhou		?	ɣ .	2 shang
1162	h .	581	下 (shang)	Baxter		?	h .	2 shang
1715	. a . ˥	858	下 (xia)	Zhou		?	. a . ˥	2 xia
1716	. æ . X	858	下 (xia)	Baxter		?	. æ . X	2 xia
1717	ĭ o . ˥	859	与 (xia)	Zhou		?	ĭ o . ˥	2 xia
1718	j o . X	859	与 (xia)	Baxter		?	j o . X	2 xia
1163	ţʰ ĭ	582	丑 (shang)	Zhou		?	ţʰ ĭ	2 shang
1164	trh j	582	丑 (shang)	Baxter		?	trh j	2 shang
3	pʰ ĭ	2	丕 (shang)	Zhou	pʰĭĕm˥	?	pʰ ĭ	0 shang
4	ph j	2	丕 (shang)	Baxter	pʰĭĕm˥	?	ph j	0 shang
1165	kʰ ĭw	583	丘 (shang)	Zhou		?	kʰ ĭw	2 shang
1166	kh j	583	丘 (shang)	Baxter		?	kh j	2 shang
1719	ĭ ɐ ŋ ˥	860	丙 (xia)	Zhou		?	ĭ ɐ ŋ ˥	2 xia
1720	j æ ng X	860	丙 (xia)	Baxter		?	j æ ng X	2 xia
1167	dzʰ .	584	並 (shang)	Zhou		?	dzʰ .	2 shang
1168	dz .	584	並 (shang)	Baxter		?	dz .	2 shang
3246	. ɑ . ˩˥	1617	个 (xia)	Zhou	ŋɑ˩˥	new	. ɑ . ˩˥	
3247	. a . H	1617	个 (xia)	Baxter	kaH	new	. a . H	
621	ţ ĭ	311	中 (shang)	Zhou		?	ţ ĭ	1 shang
622	tr j	311	中 (shang)	Baxter		?	tr j	1 shang
767	ĭ u ŋ ˩	384	中 (xia)	Zhou		?	ĭ u ŋ ˩	1 xia
768	j uw ng .	384	中 (xia)	Baxter		?	j uw ng .	1 xia
1721	u ɑ n ˥˩	861	丸 (xia)	Zhou		?	u ɑ n ˥˩	2 xia
1722	w a n .	861	丸 (xia)	Baxter		?	w a n .	2 xia
1723	ĭ u . ˥	862	主 (xia)	Zhou		?	ĭ u . ˥	2 xia
1724	j u . X	862	主 (xia)	Baxter		?	j u . X	2 xia
1169	n .	585	乃 (shang)	Zhou		?	n .	2 shang
1170	n .	585	乃 (shang)	Baxter		?	n .	2 shang
1725	ĭ əu . ˥	863	久 (xia)	Zhou		?	ĭ əu . ˥	2 xia
1726	j uw . X	863	久 (xia)	Baxter		?	j uw . X	2 xia
1171	tɕ ĭ	586	之 (shang)	Zhou		?	tɕ ĭ	2 shang
1172	tsy .	586	之 (shang)	Baxter		?	tsy .	2 shang
1727	ĭ ə . ˩	864	之 (xia)	Zhou		?	ĭ ə . ˩	2 xia
1728	. i . .	864	之 (xia)	Baxter		?	. i . .	2 xia
623	ɣ .	312	乎 (shang)	Zhou		?	ɣ .	1 shang
624	h .	312	乎 (shang)	Baxter		?	h .	1 shang
1729	. u . ˩	865	乎 (xia)	Zhou		?	. u . ˩	2 xia
1730	. u . .	865	乎 (xia)	Baxter		?	. u . .	2 xia
1731	ĭw ɐ p .	866	乏 (xia)	Zhou		?	ĭw ɐ p .	2 xia
1732	j o p .	866	乏 (xia)	Baxter		?	j o p .	2 xia
5	k w	3	乖 (shang)	Zhou	kwai˥	?	k w	0 shang
6	k w	3	乖 (shang)	Baxter	kwai˥	?	k w	0 shang
1733	w ɐi . ˩	867	乖 (xia)	Zhou		?	w ɐi . ˩	2 xia
1734	w ɛj . .	867	乖 (xia)	Baxter		?	w ɛj . .	2 xia
1173	dʑʰ ĭ	587	乗 (shang)	Zhou		?	dʑʰ ĭ	2 shang
1174	zy .	587	乗 (shang)	Baxter		?	zy .	2 shang
1735	ĭ ə ŋ ˩	868	乗 (xia)	Zhou		?	ĭ ə ŋ ˩	2 xia
1736	. i ng .	868	乗 (xia)	Baxter		?	. i ng .	2 xia
625	ʔ w	313	乙 (shang)	Zhou		?	ʔ w	1 shang
626	' w	313	乙 (shang)	Baxter		?	' w	1 shang
769	ĭ ĕ t .	385	乙 (xia)	Zhou		?	ĭ ĕ t .	1 xia
770	. i t .	385	乙 (xia)	Baxter		?	. i t .	1 xia
1175	k ĭ	588	九 (shang)	Zhou		?	k ĭ	2 shang
1176	k j	588	九 (shang)	Baxter		?	k j	2 shang
1737	ĭ əu . ˥	869	九 (xia)	Zhou		?	ĭ əu . ˥	2 xia
1738	j uw . X	869	九 (xia)	Baxter		?	j uw . X	2 xia
3187	j ɨ t .	1592	乞 (xia)	Baxter	kĭət	new	j ɨ t .	
3188	ĭ ə t .	1592	乞 (xia)	Zhou		new	ĭ ə t .	
1739	ĭ a . ˥	870	也 (xia)	Zhou		?	ĭ a . ˥	2 xia
1740	j æ . X	870	也 (xia)	Baxter		?	j æ . X	2 xia
1741	ĭ ɛ n ˥˩	871	乾 (xia)	Zhou		?	ĭ ɛ n ˥˩	2 xia
1742	j e n .	871	乾 (xia)	Baxter		?	j e n .	2 xia
771	u ɑ n ˩˥	386	亂 (xia)	Zhou		?	u ɑ n ˩˥	1 xia
772	w a n H	386	亂 (xia)	Baxter		?	w a n H	1 xia
773	i eu . ˥	387	了 (xia)	Zhou		?	i eu . ˥	1 xia
774	. ew . X	387	了 (xia)	Baxter		?	. ew . X	1 xia
1177	j ĭ	589	予 (shang)	Zhou		?	j ĭ	2 shang
1178	y .	589	予 (shang)	Baxter		?	y .	2 shang
1743	. i . ˩˥	872	二 (xia)	Zhou		?	. i . ˩˥	2 xia
1744	. ij . H	872	二 (xia)	Baxter		?	. ij . H	2 xia
1179	. ĭw	590	于 (shang)	Zhou		?	. ĭw	2 shang
1180	h jw	590	于 (shang)	Baxter		?	h jw	2 shang
775	ĭ u . ˥˩	388	于 (xia)	Zhou		?	ĭ u . ˥˩	1 xia
776	j u . .	388	于 (xia)	Baxter		?	j u . .	1 xia
1181	. ĭ	591	云 (shang)	Zhou		?	. ĭ	2 shang
1182	h j	591	云 (shang)	Baxter		?	h j	2 shang
777	ĭu ə n ˥˩	389	云 (xia)	Zhou		?	ĭu ə n ˥˩	1 xia
778	j u n .	389	云 (xia)	Baxter		?	j u n .	1 xia
1183	ŋ .	592	五 (shang)	Zhou		?	ŋ .	2 shang
1184	ng .	592	五 (shang)	Baxter		?	ng .	2 shang
779	ĭ ɛ ŋ ˥	390	井 (xia)	Zhou		?	ĭ ɛ ŋ ˥	1 xia
780	j e ng X	390	井 (xia)	Baxter		?	j e ng X	1 xia
1745	. ə ŋ ˩˥	873	亘 (xia)	Zhou		?	. ə ŋ ˩˥	2 xia
1746	. o ng H	873	亘 (xia)	Baxter		?	. o ng H	2 xia
781	. a . ˩˥	391	亞 (xia)	Zhou		?	. a . ˩˥	1 xia
782	. æ . H	391	亞 (xia)	Baxter		?	. æ . H	1 xia
1185	m ĭ	593	亡 (shang)	Zhou		?	m ĭ	2 shang
1186	m j	593	亡 (shang)	Baxter		?	m j	2 shang
1747	. au . ˩	874	交 (xia)	Zhou		?	. au . ˩	2 xia
1748	. æw . .	874	交 (xia)	Baxter		?	. æw . .	2 xia
1749	. ɒi . ˥	875	亥 (xia)	Zhou		?	. ɒi . ˥	2 xia
1750	. oj . X	875	亥 (xia)	Baxter		?	. oj . X	2 xia
783	ĭ ɛ k .	392	亦 (xia)	Zhou		?	ĭ ɛ k .	1 xia
784	j e k .	392	亦 (xia)	Baxter		?	j e k .	1 xia
1751	ĭ ɐ ŋ ˥˩	876	京 (xia)	Zhou		?	ĭ ɐ ŋ ˥˩	2 xia
1752	j æ ng .	876	京 (xia)	Baxter		?	j æ ng .	2 xia
1753	ĭ a ŋ ˩˥	877	亮 (xia)	Zhou		?	ĭ a ŋ ˩˥	2 xia
1754	j a ng H	877	亮 (xia)	Baxter		?	j a ng H	2 xia
1187	nʑ ĭ	594	人 (shang)	Zhou		?	nʑ ĭ	2 shang
1188	ny .	594	人 (shang)	Baxter		?	ny .	2 shang
1755	ĭ ĕ n ˥˩	878	人 (xia)	Zhou		?	ĭ ĕ n ˥˩	2 xia
1756	. i n .	878	人 (xia)	Baxter		?	. i n .	2 xia
785	ĭ ĕ m ˩	393	今 (xia)	Zhou		?	ĭ ĕ m ˩	1 xia
786	j i m .	393	今 (xia)	Baxter		?	. i m .	1 xia
787	. ɐi . ˩˥	394	介 (xia)	Zhou		?	. ɐi . ˩˥	1 xia
788	. ɛj . H	394	介 (xia)	Baxter		?	. ɛj . H	1 xia
3129	ny .	1578	仍 (shang)	Baxter	nʑĭə˩˥', '仍		ny .	
3130	nʑ ĭ	1578	仍 (shang)	Zhou	nʑĭə˩˥', '仍		nʑ ĭ	
1757	ĭ ə ŋ ˥˩	879	仍 (xia)	Zhou		?	ĭ ə ŋ ˥˩	2 xia
1758	j i ng .	879	仍 (xia)	Baxter		?	. i ng .	2 xia
7	dʒʰ ĭ	4	仕 (shang)	Zhou	dʒʰĭu˩ / dʒʰɐm˩˥ / dʒʰwɐi˩ / dʒʰĭĕp / dʒʰəu˥ / dʒʰĭet / dʒʰĭəŋ˩ / dʒʰam˥ / dʒʰĭuŋ˩˥	?	dʒʰ ĭ	0 shang
8	dzr j	4	仕 (shang)	Baxter	dʒʰĭu˩ / dʒʰɐm˩˥ / dʒʰwɐi˩ / dʒʰĭĕp / dʒʰəu˥ / dʒʰĭet / dʒʰĭəŋ˩ / dʒʰam˥ / dʒʰĭuŋ˩˥	?	dzr j	0 shang
1189	tʰ .	595	他 (shang)	Zhou		?	tʰ .	2 shang
1190	th .	595	他 (shang)	Baxter		?	th .	2 shang
215	ĭ ɛ n ˥˩	108	仙 (xia)	Zhou	tsĭɛn˥˩ / dzʰĭɛn˩	?	ĭ ɛ n ˥˩	0 xia
216	j e n .	108	仙 (xia)	Baxter	tsĭɛn˥˩ / dzʰĭɛn˩	?	j e n .	0 xia
1759	. ɒi . ˩˥	880	代 (xia)	Zhou		?	. ɒi . ˩˥	2 xia
1760	. oj . H	880	代 (xia)	Baxter		?	. oj . H	2 xia
217	ĭ ɛ ŋ ˩˥	109	令 (xia)	Zhou	xĭɛŋ˩˥	?	ĭ ɛ ŋ ˩˥	0 xia
218	j e ng H	109	令 (xia)	Baxter	xĭɛŋ˩˥	?	j e ng H	0 xia
1191	j ĭ	596	以 (shang)	Zhou		?	j ĭ	2 shang
1192	y .	596	以 (shang)	Baxter		?	y .	2 shang
1761	ĭ u ŋ ˩˥	881	仲 (xia)	Zhou		?	ĭ u ŋ ˩˥	2 xia
1762	j uw ng H	881	仲 (xia)	Baxter		?	j uw ng H	2 xia
1763	ĭ ĕ m ˩˥	882	任 (xia)	Zhou		?	ĭ ĕ m ˩˥	2 xia
1764	. i m H	882	任 (xia)	Baxter		?	. i m H	2 xia
1193	ʔ i	597	伊 (shang)	Zhou		?	ʔ i	2 shang
1194	' j	597	伊 (shang)	Baxter		?	' j	2 shang
1765	ĭw ɐ t .	883	伐 (xia)	Zhou		?	ĭw ɐ t .	2 xia
1766	jw o t .	883	伐 (xia)	Baxter		?	jw o t .	2 xia
9	x ĭw	5	休 (shang)	Zhou	xĭwɛŋ˩˥ / xĭən˥	?	x ĭw	0 shang
10	x jw	5	休 (shang)	Baxter	xĭwɛŋ˩˥ / xĭən˥	?	x jw	0 shang
1195	p .	598	伯 (shang)	Zhou		?	p .	2 shang
1196	p .	598	伯 (shang)	Baxter		?	p .	2 shang
1767	. ɐ k .	884	伯 (xia)	Zhou		?	. ɐ k .	2 xia
1768	. æ k .	884	伯 (xia)	Baxter		?	. æ k .	2 xia
219	u ɑ n ˥	110	伴 (xia)	Zhou	pʰuɑn˥	?	u ɑ n ˥	0 xia
220	w a n X	110	伴 (xia)	Baxter	pʰuɑn˥	?	w a n X	0 xia
1197	z ĭ	599	似 (shang)	Zhou		?	z ĭ	2 shang
1198	z j	599	似 (shang)	Baxter		?	z j	2 shang
221	ĭ ɑ . ˥˩	111	伽 (xia)	Zhou	kʰĭɑ˥˩ / tsʰĭuɑ˥˩ / kĭɑ˥˩	?	ĭ ɑ . ˥˩	0 xia
222	j a . .	111	伽 (xia)	Baxter	kʰĭɑ˥˩ / tsʰĭuɑ˥˩ / kĭɑ˥˩	?	j a . .	0 xia
1769	i e n ˩˥	885	佃 (xia)	Zhou		?	i e n ˩˥	2 xia
1770	. e n H	885	佃 (xia)	Baxter		?	. e n H	2 xia
789	. ɑ n ˥	395	但 (xia)	Zhou		?	. ɑ n ˥	1 xia
790	. a n X	395	但 (xia)	Baxter		?	. a n X	1 xia
3147	ɖʰ .	1562	佇 (shang)	Zhou	ɖʰɐm˩˥', '佇		ɖʰ .	
3154	. o m H	1562	佇 (shang)	Baxter			dr .	
1771	w i . ˩˥	886	位 (xia)	Zhou		?	w i . ˩˥	2 xia
1772	w ij . H	886	位 (xia)	Baxter		?	w ij . H	2 xia
791	i ei . ˩	396	低 (xia)	Zhou		?	i ei . ˩	1 xia
792	. ej . .	396	低 (xia)	Baxter		?	. ej . .	1 xia
1773	. ɑ . ˩˥	887	佐 (xia)	Zhou		?	. ɑ . ˩˥	2 xia
1774	. a . H	887	佐 (xia)	Baxter		?	. a . H	2 xia
1199	ɣ .	600	何 (shang)	Zhou		?	ɣ .	2 shang
1200	h .	600	何 (shang)	Baxter		?	h .	2 shang
1775	. ɑ . ˥˩	888	何 (xia)	Zhou		?	. ɑ . ˥˩	2 xia
1776	. a . .	888	何 (xia)	Baxter		?	. a . .	2 xia
1201	j ĭ	601	余 (shang)	Zhou		?	j ĭ	2 shang
1202	y .	601	余 (shang)	Baxter		?	y .	2 shang
793	ĭ o . ˥˩	397	余 (xia)	Zhou		?	ĭ o . ˥˩	1 xia
794	j o . .	397	余 (xia)	Baxter		?	j o . .	1 xia
1203	ts .	602	作 (shang)	Zhou		?	ts .	2 shang
1204	ts .	602	作 (shang)	Baxter		?	ts .	2 shang
3219	i e ŋ ˩˥	1609	佞 (xia)	Zhou		new	i e ŋ ˩˥	
3220	j e ng H	1609	佞 (xia)	Baxter		new	j e ng H	
1777	u ɒi . ˩˥	889	佩 (xia)	Zhou		?	u ɒi . ˩˥	2 xia
1778	w oj . H	889	佩 (xia)	Baxter		?	w oj . H	2 xia
627	k .	314	佳 (shang)	Zhou		?	k .	1 shang
628	k .	314	佳 (shang)	Baxter		?	k .	1 shang
795	. ai . ˩	398	佳 (xia)	Zhou		?	. ai . ˩	1 xia
796	. ɛ . .	398	佳 (xia)	Baxter		?	. ɛ . .	1 xia
1205	l .	603	來 (shang)	Zhou		?	l .	2 shang
1206	l .	603	來 (shang)	Baxter		?	l .	2 shang
797	. ɒi . ˩	399	來 (xia)	Zhou		?	. ɒi . ˩	1 xia
798	. oj . .	399	來 (xia)	Baxter		?	. oj . .	1 xia
223	ĭ e . ˥	112	侈 (xia)	Zhou	ţĭe˥	?	ĭ e . ˥	0 xia
224	j e . X	112	侈 (xia)	Baxter	ţĭe˥	?	j e . X	0 xia
1779	ĭ ɛi . ˩˥	890	例 (xia)	Zhou		?	ĭ ɛi . ˩˥	2 xia
1780	j ej . H	890	例 (xia)	Baxter		?	j ej . H	2 xia
3131	' j	1577	依 (shang)	Baxter	ʔĭo˩˥', '依		' j	
3132	ʔ ĭ	1577	依 (shang)	Zhou	ʔĭo˩˥', '依		ʔ ĭ	
799	ĭ əi . ˥˩	400	依 (xia)	Zhou		?	ĭ əi . ˥˩	1 xia
800	j ɨj . .	400	依 (xia)	Baxter		?	j ɨj . .	1 xia
1207	ɣ .	604	侯 (shang)	Zhou		?	ɣ .	2 shang
1208	h .	604	侯 (shang)	Baxter		?	h .	2 shang
1781	. əu . ˥˩	891	侯 (xia)	Zhou		?	. əu . ˥˩	2 xia
1782	. uw . .	891	侯 (xia)	Baxter		?	. uw . .	2 xia
1209	bʰ ĭ	605	便 (shang)	Zhou		?	bʰ ĭ	2 shang
1210	b j	605	便 (shang)	Baxter		?	b j	2 shang
629	ŋ .	315	俄 (shang)	Zhou		?	ŋ .	1 shang
630	ng .	315	俄 (shang)	Baxter		?	ng .	1 shang
1783	. ɑ . ˥˩	892	俄 (xia)	Zhou		?	. ɑ . ˥˩	2 xia
1784	. a . .	892	俄 (xia)	Baxter		?	. a . .	2 xia
1785	ĭ u . ˥˩	893	俞 (xia)	Zhou		?	ĭ u . ˥˩	2 xia
1786	j u . .	893	俞 (xia)	Baxter		?	j u . .	2 xia
11	dʐʰ ĭ	6	俟 (shang)	Zhou	dʐʰĭə˩	?	dʐʰ ĭ	0 shang
12	dr j	6	俟 (shang)	Baxter	dʐʰĭə˩	?	dr j	0 shang
1211	k w	606	俱 (shang)	Zhou		?	k w	2 shang
1212	k w	606	俱 (shang)	Baxter		?	k w	2 shang
1787	ĭ u . ˩	894	俱 (xia)	Zhou		?	ĭ u . ˩	2 xia
1788	j u . .	894	俱 (xia)	Baxter		?	j u . .	2 xia
1789	ĭ e . ˥	895	俾 (xia)	Zhou		?	ĭ e . ˥	2 xia
1790	j e . X	895	俾 (xia)	Baxter		?	j e . X	2 xia
1213	tsʰ .	607	倉 (shang)	Zhou		?	tsʰ .	2 shang
1214	tsh .	607	倉 (shang)	Baxter		?	tsh .	2 shang
1791	. əu . ˩˥	896	候 (xia)	Zhou		?	. əu . ˩˥	2 xia
1792	. uw . H	896	候 (xia)	Baxter		?	. uw . H	2 xia
801	ĭ e . ˥	401	倚 (xia)	Zhou		?	ĭ e . ˥	1 xia
802	j e . X	401	倚 (xia)	Baxter		?	j e . X	1 xia
13	ts u	7	借 (shang)	Zhou	tsuɑn˥˩	?	ts u	0 shang
14	ts w	7	借 (shang)	Baxter	tsuɑn˥˩	?	ts w	0 shang
1793	ĭw ɛ n ˩˥	897	倦 (xia)	Zhou		?	ĭw ɛ n ˩˥	2 xia
1794	jw e n H	897	倦 (xia)	Baxter		?	jw e n H	2 xia
1795	ĭ o . ˩˥	898	倨 (xia)	Zhou		?	ĭ o . ˩˥	2 xia
1796	j o . H	898	倨 (xia)	Baxter		?	j o . H	2 xia
1797	ĭu ĕ n ˥˩	899	倫 (xia)	Zhou		?	ĭu ĕ n ˥˩	2 xia
1798	w i n .	899	倫 (xia)	Baxter		?	w i n .	2 xia
803	ĭ ɐ n ˥	402	偃 (xia)	Zhou		?	ĭ ɐ n ˥	1 xia
804	j o n X	402	偃 (xia)	Baxter		?	j o n X	1 xia
1799	ĭw əi . ˥	900	偉 (xia)	Zhou		?	ĭw əi . ˥	2 xia
1800	jw ɨj . X	900	偉 (xia)	Baxter		?	jw ɨj . X	2 xia
1215	ʧ .	608	側 (shang)	Zhou		?	ʧ .	2 shang
1216	tsr .	608	側 (shang)	Baxter		?	tsr .	2 shang
1801	ĭ ə k .	901	側 (xia)	Zhou		?	ĭ ə k .	2 xia
1802	. i k .	901	側 (xia)	Baxter		?	. i k .	2 xia
1217	bʰ .	609	傍 (shang)	Zhou		?	bʰ .	2 shang
1218	b .	609	傍 (shang)	Baxter		?	b .	2 shang
3258	. i . ˩˥	1628	備 (xia)	Zhou	pʰi˩˥	new	. i . ˩˥	
3260	. ij . H	1628	備 (xia)	Baxter	bijH	new	. ij . H	
1219	ɕ ĭ	610	傷 (shang)	Zhou		?	ɕ ĭ	2 shang
1220	sy .	610	傷 (shang)	Baxter		?	sy .	2 shang
631	kʰ ĭw	316	傾 (shang)	Zhou		?	kʰ ĭw	1 shang
632	kh wj	316	傾 (shang)	Baxter		?	kh wj	1 shang
1803	ĭw ɛ ŋ ˩	902	傾 (xia)	Zhou		?	ĭw ɛ ŋ ˩	2 xia
1804	w e ng .	902	傾 (xia)	Baxter		?	w e ng .	2 xia
1805	ĭw e . ˩˥	903	僞 (xia)	Zhou		?	ĭw e . ˩˥	2 xia
1806	w e . H	903	僞 (xia)	Baxter		?	w e . H	2 xia
1807	ĭ əu . ˩˥	904	僦 (xia)	Zhou		?	ĭ əu . ˩˥	2 xia
1808	j uw . H	904	僦 (xia)	Baxter		?	j uw . H	2 xia
1809	ĭ ɛ m ˥	905	儉 (xia)	Zhou		?	ĭ ɛ m ˥	2 xia
1810	j e m X	905	儉 (xia)	Baxter		?	j e m X	2 xia
633	nʑ w	317	儒 (shang)	Zhou		?	nʑ w	1 shang
634	ny w	317	儒 (shang)	Baxter		?	ny w	1 shang
225	ĭu ĕ n ˥	113	允 (xia)	Zhou	ɕĭuĕn˥ / nʑĭuĕn˥	?	ĭu ĕ n ˥	0 xia
226	w i n X	113	允 (xia)	Baxter	ɕĭuĕn˥ / nʑĭuĕn˥	?	w i n X	0 xia
805	. ɐ n ˩	403	元 (xia)	Zhou		?	. ɐ n ˩	1 xia
806	jw o n .	403	元 (xia)	Baxter		?	jw o n .	1 xia
635	tɕʰ .	318	充 (shang)	Zhou		?	tɕʰ .	1 shang
636	tsyh .	318	充 (shang)	Baxter		?	tsyh .	1 shang
1811	ĭ ɛu . ˥	906	兆 (xia)	Zhou		?	ĭ ɛu . ˥	2 xia
1812	j ew . X	906	兆 (xia)	Baxter		?	j ew . X	2 xia
637	s .	319	先 (shang)	Zhou		?	s .	1 shang
638	s .	319	先 (shang)	Baxter		?	s .	1 shang
1813	i e n ˩	907	先 (xia)	Zhou		?	i e n ˩	2 xia
1814	. e n .	907	先 (xia)	Baxter		?	. e n .	2 xia
1815	. ɑ ŋ ˩	908	光 (xia)	Zhou		?	u ɑ ŋ ˩	2 xia
1816	w a ng .	908	光 (xia)	Baxter		?	w a ng .	2 xia
807	ĭ ɛ n ˥	404	免 (xia)	Zhou		?	ĭ ɛ n ˥	1 xia
808	j e n X	404	免 (xia)	Baxter		?	j e n X	1 xia
1221	nʑ ĭ	611	兒 (shang)	Zhou		?	nʑ ĭ	2 shang
1222	ny .	611	兒 (shang)	Baxter		?	ny .	2 shang
1817	ĭw ɛ n ˥	909	兖 (xia)	Zhou		?	ĭw ɛ n ˥	2 xia
1818	jw e n X	909	兖 (xia)	Baxter		?	jw e n X	2 xia
227	ĭ ə ŋ ˥˩	114	兢 (xia)	Zhou	kʰĭəŋ˥˩ / dʒʰĭəŋ˩	?	ĭ ə ŋ ˥˩	0 xia
228	. i ng .	114	兢 (xia)	Baxter	kʰĭəŋ˥˩ / dʒʰĭəŋ˩	?	. i ng .	0 xia
1819	ĭ ĕ p .	910	入 (xia)	Zhou		?	ĭ ĕ p .	2 xia
1820	. i p .	910	入 (xia)	Baxter		?	. i p .	2 xia
639	n u	320	內 (shang)	Zhou		?	n u	1 shang
640	n w	320	內 (shang)	Baxter		?	n w	1 shang
229	ĭw ɐ m ˥˩	115	全 (xia)	Zhou	pʰĭwɐm˥˩ / ţĭwɛn˥˩	?	ĭw ɐ m ˥˩	0 xia
230	jw o m .	115	全 (xia)	Baxter	pʰĭwɐm˥˩ / ţĭwɛn˥˩	?	jw o m .	0 xia
1821	ĭ a ŋ ˥	911	兩 (xia)	Zhou		?	ĭ a ŋ ˥	2 xia
1822	j a ng X	911	兩 (xia)	Baxter		?	j a ng X	2 xia
1823	. æ t .	912	八 (xia)	Zhou		?	. æ t .	2 xia
1824	. ɛ t .	912	八 (xia)	Baxter		?	. ɛ t .	2 xia
1223	k .	612	公 (shang)	Zhou		?	k .	2 shang
1224	k .	612	公 (shang)	Baxter		?	k .	2 shang
1825	. u ŋ ˩	913	公 (xia)	Zhou		?	. u ŋ ˩	2 xia
1826	. uw ng .	913	公 (xia)	Baxter		?	. uw ng .	2 xia
1827	ĭ u k .	914	六 (xia)	Zhou		?	ĭ u k .	2 xia
1828	j uw k .	914	六 (xia)	Baxter		?	j uw k .	2 xia
