Reading_Zhou	Reading_Baxter	Pinyin	Fanqie	Segments	Structure	Gloss	Guangyun_ID
bʰ ĭ u k	bjuwk	fú	房六切	b j u kʷ /⁴	i m n c t	garment; wear (v.)	w504a0602
bʰ ĭ u k	bjuwk	fú	房六切	b j u kʷ /⁴	i m n c t	lie prostrate	w504a0402
bʰ ĭ u k	bjuwk	fú	房六切	b j u kʷ /⁴	i m n c t	quiver (n.)	w504a0602
bʰ ĭ u k	bjuwk	fú	房六切	b j u kʷ /⁴	i m n c t	subdue, submit	w504a0602
bʰ ĭ u k	bok	fú	房六切	b o k /⁴	i n c t	crawl	w504a0909
bʰ ĭ u ŋ ˩	bing	! píng / féng	房戎切	b i ŋ /¹	i n c t	full, solid	w109b0605
bʰ ĭ u ŋ ˩	bjuwng	! fàn / féng	房戎切	b j u ŋʷ /¹	i m n c t	float about; universally	w109b0702
bʰ ĭ u ŋ ˩	bjuwng	! píng / féng	房戎切	b j u ŋʷ /¹	i m n c t	Féng (surname)	w109b0605
bʰ ĭ u ŋ ˩˥	komH	! gàn / fèng	馮貢切	k o m /³	i n c t	the Gàn river in Jiangxi	w402b0401
bʰ ĭ u ŋ ˩˥	komX	! gàn / fèng	馮貢切	k o m /²	i n c t	the Gàn river	w402b0401
bʰ ĭ u ə n ˥	bjunX	fèn	房吻切	b j u n /²	i m n c t	unhappy	w323b0903
bʰ ĭ u ə n ˩	bjun	fén	符分切	b j u n /¹	i m n c t	great, big	w151b1005
bʰ ĭ u ə n ˩	pæn	! bān / fén	符分切	p æ n /¹	i n c t	distribute	w151b0901
bʰ ĭ u ə n ˩˥	bjunH	! fèn / fēn	扶問切	b j u n /³	i m n c t	alloted duty	w429b1001
bʰ ĭ u ə n ˩˥	pjun	fēn	扶問切	p j u n /¹	i m n c t	divide	w429b1001
bʰ ĭ u ə t	bjut	fú	符弗切	b j u t /⁴	i m n c t	great	w515b0508
bʰ ĭ u ə t	bjut	fú	符弗切	b j u t /⁴	i m n c t	grieved, annoyed	w515b0601
bʰ ĭ u ə t	bjut	fú	符弗切	b j u t /⁴	i m n c t	oppose	w515b0702
bʰ ĭ u ə t	bjɨjH	fú	符弗切	b j ɨ j /³	i m n c t	grieved	w515b0601
bʰ ĭ u ə t	phjut	fú	符弗切	pʰ j u t /⁴	i m n c t	chop (v.)	w515b0704
bʰ ĭ u ˥	bjuX	! fǔ / fù	扶雨切	b j u /²	i m n t	help	w315b0203
bʰ ĭ u ˥	bjuX	fù	扶雨切	b j u /²	i m n t	father	w315b0202
bʰ ĭ u ˥	pjuX	! fǔ / fù	扶雨切	p j u /²	i m n t	(respectful suffix in male names)	w315b0202
bʰ ĭ u ˩	bju	fú	防無切	b j u /¹	i m n t	assist	w135a1003
bʰ ĭ u ˩	bju	fú	防無切	b j u /¹	i m n t	final particle	w135b0402
bʰ ĭ u ˩	bju	fú	防無切	b j u /¹	i m n t	this, that	w135b0402
bʰ ĭ u ˩	bjuw	fú	防無切	b j u w /¹	i m n c t	drum stick	w135b0502
bʰ ĭ u ˩	pju	! fū / fú	防無切	p j u /¹	i m n t	man	w135b0402
bʰ ĭ u ˩˥	bjuH	fù	符遇切	b j u /³	i m n t	be attached to	w413b0405
bʰ ĭw a k	bjak	fù	符钁切	b j a k /⁴	i m n c t	bind (v.)	w529a0804
bʰ ĭw a ŋ ˩	bjang	fáng	符方切	b j a ŋ /¹	i m n c t	bream	w222a0402
bʰ ĭw a ŋ ˩	bjang	fáng	符方切	b j a ŋ /¹	i m n c t	dike	w222a0301
bʰ ĭw a ŋ ˩	bjang	fáng	符方切	b j a ŋ /¹	i m n c t	side-room	w222a0106
bʰ ĭw a ŋ ˩	pjang	! fāng / fáng	符方切	p j a ŋ /¹	i m n c t	just, then	w222a0403
bʰ ĭw a ŋ ˩	pjang	! fāng / fáng	符方切	p j a ŋ /¹	i m n c t	method	w222a0403
bʰ ĭw a ŋ ˩	pjang	! fāng / fáng	符方切	p j a ŋ /¹	i m n c t	square	w222a0403
bʰ ĭw a ŋ ˩˥	bjang	fáng	符況切	b j a ŋ /¹	i m n c t	dike	w445a0404
bʰ ĭw o ŋ ˥	bjowngX	fèng	扶隴切	b j o ŋʷ /²	i m n c t	present (v.) with both hands	w303b0602
bʰ ĭw o ŋ ˥	phjowngX	fèng	扶隴切	pʰ j o ŋʷ /²	i m n c t	hold with both hands; to present; receive	w303b0602
bʰ ĭw o ŋ ˩	bjowng	féng	符容切	b j o ŋʷ /¹	i m n c t	encounter (v.)	w114b0904
bʰ ĭw o ŋ ˩	bjowng	féng	符容切	b j o ŋʷ /¹	i m n c t	sew	w114b0905
bʰ ĭw o ŋ ˩	bjowngH	! fèng / féng	符容切	b j o ŋʷ /³	i m n c t	seam	w114b0905
bʰ ĭw o ŋ ˩˥	bjowng	! féng / fèng	扶用切	b j o ŋʷ /¹	i m n c t	sew	w403b0906
bʰ ĭw o ŋ ˩˥	bjowngH	fèng	扶用切	b j o ŋʷ /³	i m n c t	seam	w403b0906
bʰ ĭw ɐi ˩˥	bajH	! pèi / fèi	符廢切	b a j /³	i n c t	streamer, flutter	w427a0601
bʰ ĭw ɐi ˩˥	bjojH	fèi	符廢切	b j o j /³	i m n c t	bark (v.)	w427a0506
bʰ ĭw ɐ m ˥	bjomX	fàn	防錽切	b j o m /²	i m n c t	( surname)	w353a0801
bʰ ĭw ɐ m ˥	bjomX	fàn	防錽切	b j o m /²	i m n c t	bee	w353a0801
bʰ ĭw ɐ m ˥	bjomX	fàn	防錽切	b j o m /²	i m n c t	casting mold	w353a0802
bʰ ĭw ɐ m ˩	bjom	fán	符<original_text>咸<rewrite_text>芝</rewrite_text> </original_text>切	b j o m /¹	i m n c t	in every case	w251a0801
bʰ ĭw ɐ n ˥	bjonH	fàn	扶晩切	b j o n /³	i m n c t	cooked rice or millet	w325a1003
bʰ ĭw ɐ n ˥	bjonX	fàn	扶晩切	b j o n /²	i m n c t	eat	w325a1003
bʰ ĭw ɐ n ˩	bjon	fán	附𡋡切	b j o n /¹	i m n c t	abundant, numerous	w153b0302
bʰ ĭw ɐ n ˩	bjon	fán	附𡋡切	b j o n /¹	i m n c t	burn, roast	w153b0403
bʰ ĭw ɐ n ˩	bjon	fán	附𡋡切	b j o n /¹	i m n c t	luxuriant (growth); flourishing	w153b0505
bʰ ĭw ɐ n ˩	bjon	fán	附𡋡切	b j o n /¹	i m n c t	troubled	w153b0202
bʰ ĭw ɐ n ˩	pa	! bō / fán	附𡋡切	p a /¹	i n t	martial	w153b0203
bʰ ĭw ɐ n ˩	phjon	! fān / fán	附𡋡切	pʰ j o n /¹	i m n c t	a turn, a time	w153b0203
bʰ ĭw ɐ n ˩	pjon	! fān / fán	附𡋡切	p j o n /¹	i m n c t	hedge (n.)	w153b0804
bʰ ĭw ɐ n ˩	pjon	! fān / fán	附𡋡切	p j o n /¹	i m n c t	hedge, screen	w153b0505
bʰ ĭw ɐ n ˩˥	bjonH	fàn	符方切	b j o n /³	i m n c t	cooked rice or millet	w430b0307
bʰ ĭw ɐ n ˩˥	bjonX	fàn	符方切	b j o n /²	i m n c t	eat	w430b0307
bʰ ĭw ɐ p	bjop	fá	房法切	b j o p /⁴	i m n c t	lack (v.)	w550b0401
bʰ ĭw ɐ p	phjomH	! fàn / fá	房法切	pʰ j o m /³	i m n c t	to float	w550b0402
bʰ ĭw ɐ t	bajH	! pèi / fá	房越切	b a j /³	i n c t	streamer, flutter	w516a0906
bʰ ĭw ɐ t	bjot	fá	房越切	b j o t /⁴	i m n c t	punish	w516a0803
bʰ ĭw ɐ t	bjot	fá	房越切	b j o t /⁴	i m n c t	strike; attack	w516a0708
bʰ ĭw ɐ t	bɛt	! bá / fá	房越切	b ɛ t /⁴	i n c t	uproot	w516a0905
bʰ ĭw əi ˩	bjun	! fén / féi	符非切	b j u n /¹	i m n c t	great, big	w128b0902
bʰ ĭw əi ˩	bjɨj	féi	符非切	b j ɨ j /¹	i m n c t	fat (adj.)	w128b0703
bʰ ĭw əi ˩˥	bjut	! fú / 	扶<original_text>涕<rewrite_text>沸</rewrite_text> </original_text>切	b j u t /⁴	i m n c t	grieved, annoyed	w411b0602
bʰ ĭw əi ˩˥	bjɨjH	! fú / 	扶<original_text>涕<rewrite_text>沸</rewrite_text> </original_text>切	b j ɨ j /³	i m n c t	grieved	w411b0602
bʰ ĭw əi ˩˥	phjɨjH	! fèi / 	扶<original_text>涕<rewrite_text>沸</rewrite_text> </original_text>切	pʰ j ɨ j /³	i m n c t	squander	w411b0903
bʰ ĭw əi ˩˥	pjɨjX	! fěi / 	扶<original_text>涕<rewrite_text>沸</rewrite_text> </original_text>切	p j ɨ j /²	i m n c t	noxious insect	w411b0605
bʰ ĭ ĕ n ˥	bjijX	pìn	毗忍切	b j i j /²	i m n c t	female of animals	w322b0302
bʰ ĭ ĕ n ˥	bjinX	pìn	毗忍切	b j i n /²	i m n c t	female of animals	w322b0302
bʰ ĭ ĕ n ˩	bin	pín	符巾切	b i n /¹	i n c t	poor	w149b0108
bʰ ĭ ĕ n ˩	bjin	pín	符眞切	b j i n /¹	i m n c t	frequently	w148b0905
bʰ ĭ ĕ n ˩	bjin	pín	符眞切	b j i n /¹	i m n c t	river bank	w148b0905
bʰ ĭ ĕ t	bit	bì	房密切	b i t /⁴	i n c t	[place name]	w513b0608
bʰ ĭ ĕ t	bit	bì	毗必切	b i t /⁴	i n c t	[place name]	w513a0605
bʰ ĭ ĕ t	bjit	bì	房密切	b j i t /⁴	i m n c t	[place name]	w513b0608
bʰ ĭ ĕ t	bjit	bì	毗必切	b j i t /⁴	i m n c t	[place name]	w513a0605
bʰ ĭ ĕ t	pit	bì	毗必切	p i t /⁴	i n c t	shaft, handle (of a weapon)	w513a0701
bʰ ĭ ĕ t	pjijH	bì	毗必切	p j i j /³	i m n c t	combine; all	w513a0606
bʰ ĭ ĕ t	pjijX	! bǐ / bì	毗必切	p j i j /²	i m n c t	compare	w513a0606
bʰ ĭ ɐ ŋ ˩	bjæng	píng	符兵切	b j æ ŋ /¹	i m n c t	even (adj.)	w228a0804
bʰ ĭ ɐ ŋ ˩	bjæng	píng	符兵切	b j æ ŋ /¹	i m n c t	make even	w228a0804
bʰ ĭ ɐ ŋ ˩˥	bjængH	bìng	皮命切	b j æ ŋ /³	i m n c t	extreme illness	w446a0503
bʰ ĭ əu ˥	bjuwX	fù	房久切	b j u w /²	i m n c t	big mound	w345b0904
bʰ ĭ əu ˥	bjuwX	fù	房久切	b j u w /²	i m n c t	carry on the back	w345b0901
bʰ ĭ əu ˥	bjuwX	fù	房久切	b j u w /²	i m n c t	woman, wife	w345b0802
bʰ ĭ əu ˩	bjuw	fú	縛謀切	b j u w /¹	i m n c t	drum stick	w241a0203
bʰ ĭ əu ˩	bjuw	fú	縛謀切	b j u w /¹	i m n c t	float (v.)	w241a0106
bʰ ĭ əu ˩	bjuw	fú	縛謀切	b j u w /¹	i m n c t	mayfly	w241a0307
bʰ ĭ əu ˩˥	bjuwH	! fú / fù	扶富切	b j u w /³	i m n c t	hatch (v.)	w449b1003
bʰ ĭ əu ˩˥	bjuwH	fù	扶富切	b j u w /³	i m n c t	again	w449b0905
bʰ ĭ əu ˩˥	bjuwk	! fú / fù	扶富切	b j u kʷ /⁴	i m n c t	lie prostrate	w449b1003
bʰ ĭ əu ˩˥	bjuwk	fù	扶富切	b j u kʷ /⁴	i m n c t	return	w449b0905
bʰ ĭ əu ˩˥	phjuwk	fù	扶富切	pʰ j u kʷ /⁴	i m n c t	turn over	w449b1006
bʰ ĭ əu ˩˥	pjuwk	fù	扶富切	p j u kʷ /⁴	i m n c t	double, lined (garment)	w449b1007
bʰ ĭ ə ŋ ˩	bing	píng	扶冰切	b i ŋ /¹	i n c t	full, solid	w235a0501
bʰ ĭ ə ŋ ˩	bing	píng	扶冰切	b i ŋ /¹	i n c t	lean on	w235a0502
bʰ ĭ ə ŋ ˩	bjuwng	píng	扶冰切	b j u ŋʷ /¹	i m n c t	Féng (surname)	w235a0501
bʰ ĭ ɛi ˩˥	bjiejH	! bì / 	毗祭切	b j/ji e j /³	i m n c t	destroy; worn out	w419b0801
bʰ ĭ ɛi ˩˥	bjiejH	! bì / 	毗祭切	b j/ji e j /³	i m n c t	fall down (from wound or illness)	w419b0702
bʰ ĭ ɛi ˩˥	bjiejH	! bì / 	毗祭切	b j/ji e j /³	i m n c t	offering of silk	w419b0703
bʰ ĭ ɛ k	bek	! bì / pǐ	房益切	b e k /⁴	i n c t	inner coffin	w537a0502
bʰ ĭ ɛ k	bjiek	pǐ	房益切	b j/ji e k /⁴	i m n c t	beat the breast	w537a0406
bʰ ĭ ɛ k	pjiek	! bì / pǐ	房益切	p j/ji e k /⁴	i m n c t	ruler, prince	w537a0502
bʰ ĭ ɛ n ˥	bjenX	biàn	符蹇切	b j e n /²	i m n c t	dispute (v.))	w330b0806
bʰ ĭ ɛ n ˥	bjenX	biàn	符蹇切	b j e n /²	i m n c t	distinguish	w330b0903
bʰ ĭ ɛ n ˥	bjienH	! biàn / pián	符善切	b j/ji e n /³	i m n c t	glib-tongued	w331b1005
bʰ ĭ ɛ n ˥	bjienH	biàn	符蹇切	b j/ji e n /³	i m n c t	glib-tongued	w330b0904
bʰ ĭ ɛ n ˥	bjienX	! biàn / pián	符善切	b j/ji e n /²	i m n c t	insincere words	w331b1005
bʰ ĭ ɛ n ˥	bjienX	biàn	符蹇切	b j/ji e n /²	i m n c t	insincere words	w330b0904
bʰ ĭ ɛ n ˥	penX	! biǎn / pián	符善切	p e n /²	i n c t	flat and thin	w331b1006
bʰ ĭ ɛ n ˩	bjien	! pián / biàn	房連切	b j/ji e n /¹	i m n c t	glib-tongued	w205a0607
bʰ ĭ ɛ n ˩	bjienH	biàn	房連切	b j/ji e n /³	i m n c t	comfortable; advantageous	w205a0607
bʰ ĭ ɛ n ˩	bjienH	biàn	房連切	b j/ji e n /³	i m n c t	glib-tongued	w205a0704
bʰ ĭ ɛ n ˩	bjienX	biàn	房連切	b j/ji e n /²	i m n c t	insincere words	w205a0704
bʰ ĭ ɛ n ˩	bjæng	! píng / biàn	房連切	b j æ ŋ /¹	i m n c t	even (adj.)	w205a0703
bʰ ĭ ɛ n ˩	bjæng	! píng / biàn	房連切	b j æ ŋ /¹	i m n c t	make even	w205a0703
bʰ ĭ ɛ n ˩˥	bjenH	biàn	皮變切	b j e n /³	i m n c t	cap	w437a0203
bʰ ĭ ɛ n ˩˥	bjenH	biàn	皮變切	b j e n /³	i m n c t	law	w437a0105
bʰ ĭ ɛ n ˩˥	bjien	! pián / biàn	婢面切	b j/ji e n /¹	i m n c t	glib-tongued	w437b0206
bʰ ĭ ɛ n ˩˥	bjienH	biàn	婢面切	b j/ji e n /³	i m n c t	comfortable; advantageous	w437b0206
bʰ ĭ ɛ t	bjet	bié	皮列切	b j e t /⁴	i m n c t	be separated (intr.)	w527a0903
bʰ ĭ ɛ t	pjet	bié	皮列切	p j e t /⁴	i m n c t	separate (tr.)	w527a0903
bʰ ĭ ɛu ˩	bjiew	piáo	符霄切	b j/ji e w /¹	i m n c t	gourd	w210a1002
bʰ ɐi ˩	bɛj	pái	步皆切	b ɛ j /¹	i n c t	push	w143b0804
bʰ ɐ k	bæk	! bó / bái	傍陌切	b æ k /⁴	i n c t	silk	w532b0401
bʰ ɐ k	bæk	bái	傍陌切	b æ k /⁴	i n c t	white	w532b0309
bʰ ɐ ŋ ˩	bang	! páng / péng	薄庚切	b a ŋ /¹	i n c t	(a kind of plant)	w228a0201
bʰ ɐ ŋ ˩	bong	péng	薄庚切	b o ŋ /¹	i n c t	awning, sail	w228a0102
bʰ ɐ ŋ ˩	bæng	péng	薄庚切	b æ ŋ /¹	i n c t	(place name)	w227b0905
bʰ ɐ ŋ ˩	pængH	! bàng / péng	薄庚切	p æ ŋ /³	i n c t	oar	w228a0103
bʰ ɑu ˥	bawX	bào	薄浩切	b a w /²	i n c t	carry in the arms	w335a0606
bʰ ɑu ˩	baw	páo	薄襃切	b a w /¹	i n c t	long robe	w214a0207
bʰ ɑu ˩˥	bawH	bào	薄報切	b a w /³	i n c t	violent	w440b0307
bʰ ɑu ˩˥	buwk	! pù / bào	薄報切	b u kʷ /⁴	i n c t	expose to sun	w440b0307
bʰ ɑu ˩˥	buwk	! pù / bào	薄報切	b u kʷ /⁴	i n c t	expose to the sun	w440b0402
bʰ ɑu ˩˥	buwk	bào	薄報切	b u kʷ /⁴	i n c t	waterfall?	w440b0403
bʰ ɑ ŋ ˩	bang	! páng / bàng	步光切	b a ŋ /¹	i n c t	bang-hwang hestitate	w227a0403
bʰ ɑ ŋ ˩	bang	! páng / bàng	步光切	b a ŋ /¹	i n c t	beside; assist	w227a0402
bʰ ɑ ŋ ˩	bang	! páng / bàng	步光切	b a ŋ /¹	i n c t	side	w227a0502
bʰ ɑ ŋ ˩	bangH	bàng	步光切	b a ŋ /³	i n c t	beside; assist	w227a0402
bʰ ɑ ŋ ˩	bjang	! fáng / bàng	步光切	b j a ŋ /¹	i m n c t	side-room	w227a0501
bʰ ɑ ŋ ˩˥	bang	! páng / bàng	蒲浪切	b a ŋ /¹	i n c t	beside; assist	w445a0905
bʰ ɑ ŋ ˩˥	bang	! páng / bàng	蒲浪切	b a ŋ /¹	i n c t	walk alongside	w445a1001
bʰ ɑ ŋ ˩˥	bangH	bàng	蒲浪切	b a ŋ /³	i n c t	beside; assist	w445a0905
bʰ ɒi ˥	bwojX	bèi	薄亥切	b w o j /²	i m n c t	double	w322a0101
bʰ ɔ k	bæwk	báo	蒲角切	b æ kʷ /⁴	i n c t	hail	w510a0807
bʰ ɔ ŋ ˥	bæwngX	bàng	歩項切	b æ ŋʷ /²	i n c t	oyster, mussel	w304b0305
bʰ ɔ ŋ ˥	bæwngX	bàng	歩項切	b æ ŋʷ /²	i n c t	oyster, mussel	w304b0401
bʰ ɔ ŋ ˩	bæwng	páng	薄江切	b æ ŋʷ /¹	i n c t	huge	w116a0906
bʰ ə k	bjuwk	fú	蒲北切	b j u kʷ /⁴	i m n c t	crawl (bu.bjuwk)	w542b0604
